ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
25769,JE140202,02/12/2021 08:40:00 PM,051XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION DRIVE/PROP.,false,false,1533,015,28,25,01A,1142285,1899542,2021,08/31/2022 04:51:30 PM,41.880399914,-87.753008553,"(41.880399914, -87.753008553)"
23709,JA523814,11/24/2017 05:30:00 PM,015XX S RIDGEWAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1014,010,24,29,01A,1151629,1892141,2017,08/31/2022 04:51:30 PM,41.859912232,-87.718892563,"(41.859912232, -87.718892563)"
23305,JA275021,05/22/2017 11:55:00 PM,002XX W 59TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0232,002,20,68,01A,1175957,1865850,2017,08/31/2022 04:51:30 PM,41.787254994,-87.630381236,"(41.787254994, -87.630381236)"
24504,JC234030,04/22/2019 05:26:00 PM,007XX W 87TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,0622,006,21,71,01A,1172981,1847252,2019,08/31/2022 04:51:30 PM,41.736286061,-87.641841032,"(41.736286061, -87.641841032)"
23995,JB303350,06/12/2018 08:41:00 AM,000XX W 104TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,false,false,0512,005,34,49,01A,1177863,1835679,2018,08/31/2022 04:51:30 PM,41.704419193,-87.624304349,"(41.704419193, -87.624304349)"
25001,JD198713,03/31/2020 06:00:00 AM,015XX N SPAULDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1422,014,26,23,01A,1154078,1909960,2020,08/31/2022 04:51:30 PM,41.90876092,-87.709427365,"(41.90876092, -87.709427365)"
23573,JA427849,09/12/2017 03:26:00 AM,075XX N SHERIDAN RD,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,true,false,2422,024,49,1,01A,1165619,1950124,2017,08/31/2022 04:51:30 PM,42.018734342,-87.66588196,"(42.018734342, -87.66588196)"
24410,JC153237,02/16/2019 01:14:00 PM,007XX S SPAULDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1134,011,24,27,01A,1154482,1896632,2019,08/31/2022 04:51:30 PM,41.87217952,-87.708299898,"(41.87217952, -87.708299898)"
24225,JB469140,10/09/2018 06:48:00 PM,002XX E 135TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,OFFICE,true,false,0533,005,9,54,01A,1180195,1815478,2018,08/31/2022 04:51:30 PM,41.648931657,-87.616380495,"(41.648931657, -87.616380495)"
24394,JC138385,02/03/2019 05:45:00 AM,060XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0311,003,20,40,01A,1178195,1864905,2019,08/31/2022 04:51:30 PM,41.784611316,-87.622204191,"(41.784611316, -87.622204191)"
25395,JD335093,08/17/2020 03:06:00 AM,024XX S TRUMBULL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1024,010,22,30,01A,1153757,1887478,2020,08/31/2022 04:51:30 PM,41.847074361,-87.711205225,"(41.847074361, -87.711205225)"
24688,JC387139,08/10/2019 06:49:00 PM,033XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1121,011,27,23,01A,1153805,1905131,2019,08/31/2022 04:51:30 PM,41.89551514,-87.710559023,"(41.89551514, -87.710559023)"
23405,JA326821,06/28/2017 10:38:00 PM,054XX S WABASH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0225,002,3,40,01A,1177642,1868894,2017,08/31/2022 04:51:30 PM,41.795570057,-87.624111052,"(41.795570057, -87.624111052)"
